Creek,Site Name,7/10/2023,7/11/2023,7/12/2023,7/13/2023,7/14/2023
Shoal,NS,317.6,546.8,430.4,525.6,33.6
Bull,LD,12.4,12,0,4,12.4
Walnut,MW,16.4,787.2,4,12.4,39.2
Onion,BA,4,8,8,4,4
Boggy,MR,268,689.2,541.6,198.4,101.2
Waller,SB,598.8,740,461.2,663.2,278.8
