Date,Distance from Mouth of Creek (m),Creek,Two Letter Code,Coliform count (avg cfu or mpn/100mL),Coliform count (st dev),E. coli count (avg cfu or mpn/100mL),E. coli count (st dev),Date of qPCR,# of HF183 amplifications (out of 4),HF183 CQ mean,HF183 SQ mean (copy/100 mL),# of DogBac amplifications (out of 4),DogBac CQ mean,DogBac SQ mean (copy/100 mL),(+) Control (Amplify Y/N?),"(-) Control HF-183 (Amplify Y/N?) If Yes, how many?",(-) Control DogBac (Amplify Y/N?),Days since last rain,Flow (Hydrograph) (cfs),"Stage 
(Hydrograph) (ft)",Notes,Links,
6/10/2022,10160,Boggy,TC,,,775,,7/11/2022,1,,,0,,,Y,N,N,,,,4th run of the samples,6/11/2022 Petrifilm Counts  Boggy Creek,
6/10/2022,9620,Boggy,WW,,,,,,4,32.7325,7639648,,,,,,,,,,,,
1/16/2025,853,Boggy,DW,0,,0,,2/12/2025,0,0,0,0,0,0,Y,N,N,,,,,,
1/16/2025,8960,Boggy,MB,3022.4,,396,,2/12/2025,0,0,0,0,0,0,Y,N,N,,,,,,
1/16/2025,8960,Boggy,MB,3022.4,,396,,2/3/2025,0,0,0,0,0,0,Y,N,N,,,,,1-16-2025 UE FIB MST Tannehill & Boggy Creek qPCR Plate Re-Run 2-12-2025 -  Quantification Cq Results.xlsx,
1/16/2025,6398,Boggy,NW,3683.2,,149.2,,2/3/2025,1,0,0,0,0,0,Y,N,N,,,,,1-16-2025 UE FIB MST Tannehill & Boggy Creek qPCR Plate Re-Run 2-12-2025 -  Quantification Cq Results.xlsx,
1/16/2025,6398,Boggy,NW,3683.2,,149.2,,2/12/2025,1,0,0,0,0,0,Y,N,N,,,,,,
1/16/2025,2680,Boggy,SC,5654.4,,63.2,,2/12/2025,0,0,0,0,0,0,Y,N,N,,,,,,
1/16/2025,2680,Boggy,SC 2,660,,38.8,,2/3/2025,,0,0,0,0,0,Y,N,N,,,,,1-16-2025 UE FIB MST Tannehill & Boggy Creek qPCR Plate Re-Run 2-12-2025 -  Quantification Cq Results.xlsx,
1/16/2025,7440,Boggy,ST,2908,,142,,2/3/2025,0,0,0,0,0,0,Y,N,N,,,,,1-16-2025 UE FIB MST Tannehill & Boggy Creek qPCR Plate Re-Run 2-12-2025 -  Quantification Cq Results.xlsx,
1/16/2025,7440,Boggy,ST,2908,,142,,2/12/2025,0,0,0,0,0,0,Y,N,N,,,,,,
1/16/2025,10160,Boggy,TC,952.8,,503.6,,2/3/2025,0,0,0,0,0,0,Y,N,N,,,,,1-16-2025 UE FIB MST Tannehill & Boggy Creek qPCR Plate Re-Run 2-12-2025 -  Quantification Cq Results.xlsx,
1/16/2025,10160,Boggy,TC,952.8,,503.6,,2/12/2025,0,0,0,0,0,0,Y,N,N,,,,,,
1/16/2025,6620,Boggy,WW,5198.8,,452,,2/3/2025,0,0,0,0,0,0,Y,N,N,,,,,1-16-2025 UE FIB MST Tannehill & Boggy Creek qPCR Plate Re-Run 2-12-2025 -  Quantification Cq Results.xlsx,
1/16/2025,6620,Boggy,WW,5198.8,,452,,2/12/2025,0,0,0,0,0,0,Y,N,N,,,,,,
3/6/2025,853,Boggy,DW,1844.4,,8,,3/28/2025,4,33.9675,8308444.75,0,,,Y,1/4 but Stuart said it's fine,1/4 but Stuart said it's fine,,,,,3-6-2025 UE FIB MST Boggy & Tannehill Creek qPCR Run 3-28-2025 -  Quantification Cq Results.xlsx,3/6/2025 Boggy Creek
3/4/2022,10160,Boggy,TC,9678.4,,626,,4/29/2022,4,29.63,5934439,0,0,0,Y,N,N,,,,,Copy of UE 4-29-2022 (3-4-2022 Rerun) (4-18-2022 Run) Multiplex HF183 DogBac Data -  Quantification Cq Results.xlsx,
3/6/2025,8960,Boggy ,MB,4044.8,,714,,3/28/2025,3,35.99,8959083,0,,,Y,1/4 but Stuart said it's fine,1/4 but Stuart said it's fine,,,,,3-6-2025 UE FIB MST Boggy & Tannehill Creek qPCR Run 3-28-2025 -  Quantification Cq Results.xlsx,3/6/2025 Boggy Creek
3/6/2025,6398,Boggy ,NW,9678.4,,611.6,,3/28/2025,4,34.52,8486184,0,,,Y,1/4 but Stuart said it's fine,1/4 but Stuart said it's fine,,,,,3-6-2025 UE FIB MST Boggy & Tannehill Creek qPCR Run 3-28-2025 -  Quantification Cq Results.xlsx,3/6/2025 Boggy Creek
3/6/2025,2680,Boggy ,SC,6931.6,,458,,3/28/2025,4,33.7925,8252147.25,0,,,Y,1/4 but Stuart said it's fine,1/4 but Stuart said it's fine,,,,,3-6-2025 UE FIB MST Boggy & Tannehill Creek qPCR Run 3-28-2025 -  Quantification Cq Results.xlsx,3/6/2025 Boggy Creek
3/6/2025,7440,Boggy ,ST,9678.4,,442.4,,3/28/2025,3,34.61,8515137,0,,,Y,1/4 but Stuart said it's fine,1/4 but Stuart said it's fine,,,,,3-6-2025 UE FIB MST Boggy & Tannehill Creek qPCR Run 3-28-2025 -  Quantification Cq Results.xlsx,3/6/2025 Boggy Creek
3/6/2025,10160,Boggy ,TC,9678.4,,5654.4,,3/28/2025,1,0,0,0,,,Y,1/4 but Stuart said it's fine,1/4 but Stuart said it's fine,,,,,3-6-2025 UE FIB MST Boggy & Tannehill Creek qPCR Run 3-28-2025 -  Quantification Cq Results.xlsx,3/6/2025 Boggy Creek
3/6/2025,6620,Boggy ,WW,9678.4,,805.6,,3/28/2025,4,33.1825,8055910.25,0,,,Y,1/4 but Stuart said it's fine,1/4 but Stuart said it's fine,,,,,3-6-2025 UE FIB MST Boggy & Tannehill Creek qPCR Run 3-28-2025 -  Quantification Cq Results.xlsx,3/6/2025 Boggy Creek
6/9/2022,13080,Bull,BM,9678.4,,20.8,,7/11/2022,0,0,0,0,0,0,Y,N,N,,,,,6/9/2022 Bull Creek FHS/Quiagen IDEXX Tray ,7/11/2022 Boggy Bull rerun #4
6/9/2022,3910,Bull,LD1,9678.4,,73.2,,7/11/2022,0,0,0,1,39.72,1.29627,Y,N,N,,,,,6/9/2022 Bull Creek FHS/Quiagen IDEXX Tray ,7/11/2022 Boggy Bull rerun #4
6/9/2022,4180,Bull,LU,9678.4,,44,,7/11/2022,0,0,0,2,31,202.80954,Y,N,N,,,,,6/9/2022 Bull Creek FHS/Quiagen IDEXX Tray ,7/11/2022 Boggy Bull rerun #4
